slit,targetnum,name,ra,dec,pmra,pmdec,mag,priority,epoch,type,wave_start,wave_end,side
1057,10980,SDSSJ112702.02+422433.7,171.75841799,42.40938576,0,0,21.556840896606445,6,2000,TARGET,3477.653229428754,8868.087627419543,A
458,921,SDSSJ112704.00+422355.4,171.76667495,42.39873765,0,0,24.939929962158203,6,2000,TARGET,3262.687956990065,8653.018405188299,A
1016,10935,SDSSJ112704.00+422355.4,171.76667495,42.39873765,0,0,24.939929962158203,6,2000,TARGET,3262.687956990065,8653.018405188299,A
492,959,SDSSJ112659.22+422443.0,171.74675688,42.41194879,0,0,21.940330505371094,6,2000,TARGET,3615.4497178133633,9005.950483332772,A
1050,10973,SDSSJ112659.22+422443.0,171.74675688,42.41194879,0,0,21.940330505371094,6,2000,TARGET,3615.4497178133633,9005.950483332772,A
205,231,SDSSJ112653.52+422540.8,171.72300605,42.42801166,0,0,22.58917999267578,6,2000,TARGET,4039.8089330731177,9430.514588857053,A
762,10234,SDSSJ112653.52+422540.8,171.72300605,42.42801166,0,0,22.58917999267578,6,2000,TARGET,4039.8089330731177,9430.514588857053,A
167,192,SDSSJ112654.60+422513.3,171.72753814,42.42036385,0,0,21.436140060424805,6,2000,TARGET,3898.1228351666077,9288.759918003192,A
722,10193,SDSSJ112654.60+422513.3,171.72753814,42.42036385,0,0,21.436140060424805,6,2000,TARGET,3898.1228351666077,9288.759918003192,A
161,184,SDSSJ112654.80+422500.7,171.72833415,42.41687374,0,0,23.331270217895508,6,2000,TARGET,3844.781498996757,9235.392716635854,A
716,10185,SDSSJ112654.80+422500.7,171.72833415,42.41687374,0,0,23.331270217895508,6,2000,TARGET,3844.781498996757,9235.392716635854,A
494,961,SDSSJ112701.57+422326.4,171.75654292,42.390675,0,0,20.464799880981445,6,2000,TARGET,3245.900365342856,8636.222170902327,A
1052,10975,SDSSJ112701.57+422326.4,171.75654292,42.390675,0,0,20.464799880981445,6,2000,TARGET,3245.900365342856,8636.222170902327,A
195,221,SDSSJ112646.07+422622.8,171.69198066,42.43967689,0,0,20.92061996459961,6,2000,TARGET,4470.358356630252,9861.271515196684,A
752,10224,SDSSJ112646.07+422622.8,171.69198066,42.43967689,0,0,20.92061996459961,6,2000,TARGET,4470.358356630252,9861.271515196684,A
200,226,SDSSJ112647.99+422547.7,171.6999977,42.4299213,0,0,19.605239868164062,6,2000,TARGET,4269.931437794916,9660.747650342913,A
757,10229,SDSSJ112647.99+422547.7,171.6999977,42.4299213,0,0,19.605239868164062,6,2000,TARGET,4269.931437794916,9660.747650342913,A
443,767,SDSSJ112705.66+422157.1,171.77361075,42.36586602,0,0,19.30876922607422,6,2000,TARGET,2764.00054726483,8154.0891354825035,A
1001,10636,SDSSJ112705.66+422157.1,171.77361075,42.36586602,0,0,19.30876922607422,6,2000,TARGET,2764.00054726483,8154.0891354825035,A
446,779,SDSSJ112706.15+422138.7,171.77566258,42.3607702,0,0,21.69985008239746,6,2000,TARGET,2677.9316202464884,8067.978484458529,A
1004,10648,SDSSJ112706.15+422138.7,171.77566258,42.3607702,0,0,21.69985008239746,6,2000,TARGET,2677.9316202464884,8067.978484458529,A
196,222,SDSSJ112647.25+422516.3,171.6969057,42.4212221,0,0,22.519920349121094,6,2000,TARGET,4182.46853131264,9573.242010277865,A
753,10225,SDSSJ112647.25+422516.3,171.6969057,42.4212221,0,0,22.519920349121094,6,2000,TARGET,4182.46853131264,9573.242010277865,A
148,167,SDSSJ112648.23+422453.4,171.70098964,42.41485562,0,0,18.35055923461914,6,2000,TARGET,4061.8638396447714,9452.578917229113,A
703,10168,SDSSJ112648.23+422453.4,171.70098964,42.41485562,0,0,18.35055923461914,6,2000,TARGET,4061.8638396447714,9452.578917229113,A
569,1045,SDSSJ112651.36+422401.3,171.7140388,42.40037923,0,0,21.565269470214844,6,2000,TARGET,3753.90155303493,9144.467679940597,A
1127,11059,SDSSJ112651.36+422401.3,171.7140388,42.40037923,0,0,21.565269470214844,6,2000,TARGET,3753.90155303493,9144.467679940597,A
486,953,SDSSJ112658.70+422216.8,171.74460714,42.37134504,0,0,22.98944091796875,6,2000,TARGET,3096.148880695951,8486.397065684932,A
1044,10967,SDSSJ112658.70+422216.8,171.74460714,42.37134504,0,0,22.98944091796875,6,2000,TARGET,3096.148880695951,8486.397065684932,A
572,1048,SDSSJ112656.81+422229.4,171.73674333,42.37485202,0,0,21.776599884033203,6,2000,TARGET,3212.994616139554,8603.299093183863,A
1130,11062,SDSSJ112656.81+422229.4,171.73674333,42.37485202,0,0,21.776599884033203,6,2000,TARGET,3212.994616139554,8603.299093183863,A
479,946,SDSSJ112650.05+422340.6,171.70855821,42.39463008,0,0,21.365520477294922,6,2000,TARGET,3726.8661937732627,9117.418730231135,A
1037,10960,SDSSJ112650.05+422340.6,171.70855821,42.39463008,0,0,21.365520477294922,6,2000,TARGET,3726.8661937732627,9117.418730231135,A
481,948,SDSSJ112653.94+422241.9,171.72475498,42.37830872,0,0,20.739089965820312,6,2000,TARGET,3366.0699788835354,8756.44805636882,A
1039,10962,SDSSJ112653.94+422241.9,171.72475498,42.37830872,0,0,20.739089965820312,6,2000,TARGET,3366.0699788835354,8756.44805636882,A
333,395,SDSSJ112656.37+422159.1,171.73488606,42.3664422,0,0,20.793190002441406,6,2000,TARGET,3118.2536162380297,8508.511777857759,A
