Spectrum #,Spectrum ID,Neel,Sarayu,Reagen,Brenda,ra,dec,slit,i_mag,targetnum,name,side
61.0,slitA061_SDSSJ112708.84+422500.8t100853.fits,re-try,0.5437?,?,?,171.786834,42.416916,1165,22.733680725097656,11101,SDSSJ112708.84+422500.8,A
62.0,slitA062_SDSSJ112708.84+422500.8t100854.fits,re-try,0.5437?,?,?,171.786834,42.416916,607,22.733680725097656,1087,SDSSJ112708.84+422500.8,A
62.0,slitA062_SDSSJ112708.84+422500.8t100854.fits,re-try,0.5437?,?,?,171.786834,42.416916,1165,22.733680725097656,11101,SDSSJ112708.84+422500.8,A
63.0,slitA063_SDSSJ112700.51+422632.1t100855.fits,re-try,0.3471,0.347,?,171.75216,42.442259,277,20.9773006439209,331,SDSSJ112700.51+422632.1,A
63.0,slitA063_SDSSJ112700.51+422632.1t100855.fits,re-try,0.3471,0.347,?,171.75216,42.442259,835,20.9773006439209,10336,SDSSJ112700.51+422632.1,A
64.0,slitA064_SDSSJ112700.51+422632.1t100856.fits,re-try,0.3471,0.347,?,171.75216,42.442259,277,20.9773006439209,331,SDSSJ112700.51+422632.1,A
64.0,slitA064_SDSSJ112700.51+422632.1t100856.fits,re-try,0.3471,0.347,?,171.75216,42.442259,835,20.9773006439209,10336,SDSSJ112700.51+422632.1,A
65.0,slitA065_SDSSJ112706.07+422513.6t100857.fits,,0.4405,0.44,,171.77531,42.420446,513,21.98921012878418,980,SDSSJ112706.07+422513.6,A
65.0,slitA065_SDSSJ112706.07+422513.6t100857.fits,,0.4405,0.44,,171.77531,42.420446,1071,21.98921012878418,10994,SDSSJ112706.07+422513.6,A
66.0,slitA066_SDSSJ112706.07+422513.6t100858.fits,re-try,0.4405,0.44,,171.77531,42.420446,513,21.98921012878418,980,SDSSJ112706.07+422513.6,A
66.0,slitA066_SDSSJ112706.07+422513.6t100858.fits,re-try,0.4405,0.44,,171.77531,42.420446,1071,21.98921012878418,10994,SDSSJ112706.07+422513.6,A
67.0,slitA067_SDSSJ112648.84+422833.0t100859.fits,,0.4712,0.4715,,171.703536,42.475852,143,20.41972923278809,150,SDSSJ112648.84+422833.0,A
67.0,slitA067_SDSSJ112648.84+422833.0t100859.fits,,0.4712,0.4715,,171.703536,42.475852,697,20.41972923278809,10150,SDSSJ112648.84+422833.0,A
68.0,slitA068_SDSSJ112648.84+422833.0t100860.fits,similar to before,0.4712,0.4715,,171.703536,42.475852,143,20.41972923278809,150,SDSSJ112648.84+422833.0,A
68.0,slitA068_SDSSJ112648.84+422833.0t100860.fits,similar to before,0.4712,0.4715,,171.703536,42.475852,697,20.41972923278809,10150,SDSSJ112648.84+422833.0,A
69.0,slitA069_SDSSJ112714.56+422306.4t100861.fits,,0.3739,0.373,,171.810686,42.385134,547,20.0672607421875,1014,SDSSJ112714.56+422306.4,A
69.0,slitA069_SDSSJ112714.56+422306.4t100861.fits,,0.3739,0.373,,171.810686,42.385134,1105,20.0672607421875,11028,SDSSJ112714.56+422306.4,A
70.0,slitA070_SDSSJ112714.56+422306.4t100862.fits,similar to before,0.3739,0.3732,,171.810686,42.385134,547,20.0672607421875,1014,SDSSJ112714.56+422306.4,A
70.0,slitA070_SDSSJ112714.56+422306.4t100862.fits,similar to before,0.3739,0.3732,,171.810686,42.385134,1105,20.0672607421875,11028,SDSSJ112714.56+422306.4,A
