spectrumid,coordinates
slitB066_SDSSJ112746.25+422057.4t100781.fits,"171.94273697, 42.34928136"
slitA084_SDSSJ112721.64+423358.9t100704.fits,"171.84016792, 42.56638759"
slitB043_SDSSJ112727.43+421643.6t100758.fits,"171.86430711, 42.27880174"
slitA059_79.0t100679.fits,"171.810162, 42.470574"
slitA087_SDSSJ112735.82+422900.3t100707.fits,"171.89926231, 42.48343986"
slitB073_SDSSJ112754.63+422209.8t100788.fits,"171.97764322, 42.36940642"
slitB018_SDSSJ112708.82+421251.1t100733.fits,"171.78676896, 42.21421909"
slitB051_SDSSJ112725.26+422124.9t100766.fits,"171.85528568, 42.35693828"
slitB025_SDSSJ112700.91+421952.2t100740.fits,"171.75382381, 42.33117178"
slitB076_SDSSJ112755.09+422313.8t100791.fits,"171.97958251, 42.38719238"
slitA091_SDSSJ112729.34+423303.1t100711.fits,"171.87228184, 42.5508886"
slitA058_SDSSJ112713.78+422816.5t100678.fits,"171.80743082, 42.47126948"
slitA020_SDSSJ112647.99+422547.7t100640.fits,"171.6999977, 42.4299213"
slitA021_SDSSJ112639.85+422950.4t100641.fits,"171.66605472, 42.49736026"
slitA019_SDSSJ112636.17+423008.4t100639.fits,"171.65072027, 42.5023454"
slitB061_SDSSJ112742.17+421954.3t100776.fits,"171.92573958, 42.3317521"
slitB062_SDSSJ112740.92+422101.2t100777.fits,"171.92053685, 42.35034053"
slitA023_SDSSJ112653.63+422442.0t100643.fits,"171.72346301, 42.41168025"
slitB029_SDSSJ112710.76+421815.8t100744.fits,"171.79487166, 42.30440977"
slitA071_SDSSJ112723.83+422842.8t100691.fits,"171.84932818, 42.47857687"
slitA069_121835t100689.fits,"171.860059, 42.445746"
slitB044_SDSSJ112717.85+422111.4t100759.fits,"171.82439892, 42.35318316"
slitB049_SDSSJ112735.92+421617.6t100764.fits,"171.89966883, 42.27155872"
slitA078_119492t100698.fits,"171.878237, 42.466338"
slitB030_SDSSJ112713.92+421718.7t100745.fits,"171.80803566, 42.28855029"
slitA002_SDSSJ112630.96+422330.2t100622.fits,"171.62902817, 42.39173095"
slitB019_SDSSJ112709.42+421308.4t100734.fits,"171.78928412, 42.21902033"
slitB032_SDSSJ112717.66+421606.5t100747.fits,"171.82360401, 42.26848038"
slitB023_SDSSJ112704.82+421637.4t100738.fits,"171.7701047, 42.27706854"
slitA064_34.0t100684.fits,"171.8326812, 42.4607922"
slitA067_109556t100687.fits,"171.804498, 42.528574"
slitB041_SDSSJ112718.51+421946.9t100756.fits,"171.82715297, 42.32972189"
slitA052_5.0t100672.fits,"171.8023582, 42.4522331"
slitB001_SDSSJ112653.11+421254.0t100716.fits,"171.72131494, 42.2150097"
slitA014_SDSSJ112643.04+422437.3t100634.fits,"171.6793453, 42.41038413"
slitA086_SDSSJ112734.76+422850.4t100706.fits,"171.89485979, 42.48067353"
slitB052_SDSSJ112738.55+421602.8t100767.fits,"171.91066652, 42.26744507"
slitB077_SDSSJ112756.32+422306.8t100792.fits,"171.9846725, 42.38524647"
slitA088_SDSSJ112727.27+423305.9t100708.fits,"171.86363558, 42.55165464"
slitB009_SDSSJ112645.96+421908.5t100724.fits,"171.69150286, 42.31903669"
slitA082_SDSSJ112735.93+422701.8t100702.fits,"171.89974552, 42.45051762"
slitA015_SDSSJ112632.46+422927.2t100635.fits,"171.63525938, 42.49088978"
slitA010_SDSSJ112640.99+422339.9t100630.fits,"171.67079219, 42.39442571"
slitA085_SDSSJ112733.73+422904.9t100705.fits,"171.89058253, 42.48472047"
slitB007_SDSSJ112658.42+421245.6t100722.fits,"171.74344536, 42.21268224"
slitA013_SDSSJ112639.58+422537.8t100633.fits,"171.66492223, 42.42717901"
slitB036_SDSSJ112718.33+421727.2t100751.fits,"171.82638413, 42.29089656"
slitB035_SDSSJ112716.65+421743.3t100750.fits,"171.8194129, 42.2953641"
