spectrum_#,spectrum_id,name,side,targetnum,ra,dec,i_mag,neel,sarayu,reagen,brenda
91.0,slitA091_SDSSJ112654.80+422500.7t100883.fits,SDSSJ112654.80+422500.7,A,10185,171.728334,42.416874,23.33,,?,?,
92.0,slitA092_SDSSJ112701.57+422326.4t100884.fits,SDSSJ112701.57+422326.4,A,961,171.756543,42.390675,20.46,,0.406? / 0.3464,0.347,
92.0,slitA092_SDSSJ112701.57+422326.4t100884.fits,SDSSJ112701.57+422326.4,A,10975,171.756543,42.390675,20.46,,0.406? / 0.3464,0.347,
93.0,slitA093_SDSSJ112701.57+422326.4t100885.fits,SDSSJ112701.57+422326.4,A,961,171.756543,42.390675,20.46,similar to before,0.406? / 0.3464,0.346,
93.0,slitA093_SDSSJ112701.57+422326.4t100885.fits,SDSSJ112701.57+422326.4,A,10975,171.756543,42.390675,20.46,similar to before,0.406? / 0.3464,0.346,
94.0,slitA094_SDSSJ112646.07+422622.8t100886.fits,SDSSJ112646.07+422622.8,A,221,171.691981,42.439677,20.92,,?,?,
94.0,slitA094_SDSSJ112646.07+422622.8t100886.fits,SDSSJ112646.07+422622.8,A,10224,171.691981,42.439677,20.92,,?,?,
95.0,slitA095_SDSSJ112646.07+422622.8t100887.fits,SDSSJ112646.07+422622.8,A,221,171.691981,42.439677,20.92,,?,?,
95.0,slitA095_SDSSJ112646.07+422622.8t100887.fits,SDSSJ112646.07+422622.8,A,10224,171.691981,42.439677,20.92,,?,?,
96.0,slitA096_SDSSJ112647.99+422547.7t100888.fits,SDSSJ112647.99+422547.7,A,226,171.699998,42.429921,19.61,,?,?,
96.0,slitA096_SDSSJ112647.99+422547.7t100888.fits,SDSSJ112647.99+422547.7,A,10229,171.699998,42.429921,19.61,,?,?,
97.0,slitA097_SDSSJ112647.99+422547.7t100889.fits,SDSSJ112647.99+422547.7,A,226,171.699998,42.429921,19.61,,?,?,
97.0,slitA097_SDSSJ112647.99+422547.7t100889.fits,SDSSJ112647.99+422547.7,A,10229,171.699998,42.429921,19.61,,?,?,
98.0,slitA098_SDSSJ112705.66+422157.1t100890.fits,SDSSJ112705.66+422157.1,A,767,171.773611,42.365866,19.31,,0.2516,0.251,
98.0,slitA098_SDSSJ112705.66+422157.1t100890.fits,SDSSJ112705.66+422157.1,A,10636,171.773611,42.365866,19.31,,0.2516,0.251,
99.0,slitA099_SDSSJ112705.66+422157.1t100891.fits,SDSSJ112705.66+422157.1,A,767,171.773611,42.365866,19.31,similar to before,0.2516,0.251,
99.0,slitA099_SDSSJ112705.66+422157.1t100891.fits,SDSSJ112705.66+422157.1,A,10636,171.773611,42.365866,19.31,similar to before,0.2516,0.251,
100.0,slitA100_SDSSJ112706.15+422138.7t100892.fits,SDSSJ112706.15+422138.7,A,779,171.775663,42.36077,21.7,,0.1889,0.188,
100.0,slitA100_SDSSJ112706.15+422138.7t100892.fits,SDSSJ112706.15+422138.7,A,10648,171.775663,42.36077,21.7,,0.1889,0.188,
101.0,slitA101_SDSSJ112706.15+422138.7t100893.fits,SDSSJ112706.15+422138.7,A,779,171.775663,42.36077,21.7,similar to before?,0.1889,0.188,
101.0,slitA101_SDSSJ112706.15+422138.7t100893.fits,SDSSJ112706.15+422138.7,A,10648,171.775663,42.36077,21.7,similar to before?,0.1889,0.188,
102.0,slitA102_SDSSJ112647.25+422516.3t100894.fits,SDSSJ112647.25+422516.3,A,222,171.696906,42.421222,22.52,re-try,0.508?,?,
102.0,slitA102_SDSSJ112647.25+422516.3t100894.fits,SDSSJ112647.25+422516.3,A,10225,171.696906,42.421222,22.52,re-try,0.508?,?,
103.0,slitA103_SDSSJ112647.25+422516.3t100895.fits,SDSSJ112647.25+422516.3,A,222,171.696906,42.421222,22.52,re-try (similar to before),0.508?,?,
103.0,slitA103_SDSSJ112647.25+422516.3t100895.fits,SDSSJ112647.25+422516.3,A,10225,171.696906,42.421222,22.52,re-try (similar to before),0.508?,?,
104.0,slitA104_SDSSJ112648.23+422453.4t100896.fits,SDSSJ112648.23+422453.4,A,167,171.70099,42.414856,18.35,,?,?,
104.0,slitA104_SDSSJ112648.23+422453.4t100896.fits,SDSSJ112648.23+422453.4,A,10168,171.70099,42.414856,18.35,,?,?,
105.0,slitA105_SDSSJ112648.23+422453.4t100897.fits,SDSSJ112648.23+422453.4,A,167,171.70099,42.414856,18.35,,?,?,
105.0,slitA105_SDSSJ112648.23+422453.4t100897.fits,SDSSJ112648.23+422453.4,A,10168,171.70099,42.414856,18.35,,?,?,
106.0,slitA106_SDSSJ112651.36+422401.3t100898.fits,SDSSJ112651.36+422401.3,A,1045,171.714039,42.400379,21.57,,0.545,0.545,
106.0,slitA106_SDSSJ112651.36+422401.3t100898.fits,SDSSJ112651.36+422401.3,A,11059,171.714039,42.400379,21.57,,0.545,0.545,
107.0,slitA107_SDSSJ112651.36+422401.3t100899.fits,SDSSJ112651.36+422401.3,A,1045,171.714039,42.400379,21.57,similar to before,0.544,0.544,
107.0,slitA107_SDSSJ112651.36+422401.3t100899.fits,SDSSJ112651.36+422401.3,A,11059,171.714039,42.400379,21.57,similar to before,0.544,0.544,
108.0,slitA108_SDSSJ112658.70+422216.8t100900.fits,SDSSJ112658.70+422216.8,A,953,171.744607,42.371345,22.99,,?,?,
108.0,slitA108_SDSSJ112658.70+422216.8t100900.fits,SDSSJ112658.70+422216.8,A,10967,171.744607,42.371345,22.99,,?,?,
109.0,slitA109_SDSSJ112658.70+422216.8t100901.fits,SDSSJ112658.70+422216.8,A,953,171.744607,42.371345,22.99,,?,?,
109.0,slitA109_SDSSJ112658.70+422216.8t100901.fits,SDSSJ112658.70+422216.8,A,10967,171.744607,42.371345,22.99,,?,?,
110.0,slitA110_SDSSJ112656.81+422229.4t100902.fits,SDSSJ112656.81+422229.4,A,1048,171.736743,42.374852,21.78,,0.8144,0.815,
110.0,slitA110_SDSSJ112656.81+422229.4t100902.fits,SDSSJ112656.81+422229.4,A,11062,171.736743,42.374852,21.78,,0.8144,0.815,
111.0,slitA111_SDSSJ112656.81+422229.4t100903.fits,SDSSJ112656.81+422229.4,A,1048,171.736743,42.374852,21.78,similar to before,0.815,0.815,
111.0,slitA111_SDSSJ112656.81+422229.4t100903.fits,SDSSJ112656.81+422229.4,A,11062,171.736743,42.374852,21.78,similar to before,0.815,0.815,
112.0,slitA112_SDSSJ112650.05+422340.6t100904.fits,SDSSJ112650.05+422340.6,A,946,171.708558,42.39463,21.37,,0.3482,0.348,
112.0,slitA112_SDSSJ112650.05+422340.6t100904.fits,SDSSJ112650.05+422340.6,A,10960,171.708558,42.39463,21.37,,0.3482,0.348,
113.0,slitA113_SDSSJ112650.05+422340.6t100905.fits,SDSSJ112650.05+422340.6,A,946,171.708558,42.39463,21.37,similar to before,0.348,0.348,
113.0,slitA113_SDSSJ112650.05+422340.6t100905.fits,SDSSJ112650.05+422340.6,A,10960,171.708558,42.39463,21.37,similar to before,0.348,0.348,
